unique_id,duration_actual,n_actual,duration_predicted,n_predicted
161/1,49.37837837837837,74,61.932203389830505,59
161/2,47.07894736842106,76,56.7936507936508,63
161/3,151.8,30,60.719999999999985,75
162/1,31.508771929824565,114,22.31055900621118,161
162/2,37.5,84,36.20689655172414,87
162/3,41.93814432989692,97,31.534883720930235,129
162/4,35.54838709677419,124,35.263999999999996,125
163/2,22.165517241379316,145,21.42666666666666,150
163/3,17.946902654867262,113,21.80645161290322,93
163/4,34.684210526315795,76,28.967032967032964,91
164/1,22.283333333333328,120,22.283333333333335,120
167/4,33.17999999999999,100,36.86666666666666,90
168/4,115.85,40,63.47945205479452,73
169/4,40.444444444444436,90,49.863013698630155,73
170/4,107.55000000000001,40,51.21428571428571,84
172/2,96,17,51,32
172/3,140.89655172413796,29,140.89655172413796,29
172/4,105.875,32,96.8,35
173/2,139.7241379310345,29,150.07407407407405,27
173/3,129.11111111111111,36,132.8,35
173/4,115.46153846153847,26,120.08,25
174/1,139.45454545454544,22,109.57142857142857,28
174/2,89.72972972972973,37,80.97560975609755,41
174/3,63.40909090909093,44,47.288135593220346,59
174/4,143.17241379310343,29,44.64516129032259,93
175/2,55.95918367346938,49,63.76744186046511,43
175/3,15.956521739130434,138,19.66071428571429,112
176/3,163.3846153846154,26,108.92307692307693,39
177/3,64.66666666666666,18,77.6,15
177/4,118.10526315789471,38,73.57377049180324,61
179/2,87.3846153846154,39,61.963636363636354,55
179/3,106.4864864864865,37,98.5,40
179/4,125.67567567567569,37,63.69863013698631,73
180/2,63,42,67.84615384615385,39
181/2,39.71875,64,36.31428571428572,70
181/3,45.17948717948718,39,35.95918367346938,49
182/3,30.235294117647054,34,42.833333333333336,24
182/4,89.29729729729729,37,80.58536585365854,41
183/2,65.7,20,43.8,30
183/3,74.96428571428572,56,52.474999999999994,80
184/2,38.4,45,23.671232876712327,73
184/3,29.833333333333332,24,34.09523809523809,21
184/4,68.08695652173913,46,36,87
186/2,158,16,158,16
186/3,156.72727272727272,11,101.41176470588238,17
188/3,33.297872340425535,94,37.71084337349397,83
188/4,17.919999999999998,75,20.363636363636367,66
8/1,33.17543859649122,114,38.202020202020194,99
9/1,174.72727272727272,22,142.37037037037035,27
